Neuron Idx;Top k interpretation;Emotion;Fixed vocab interp;Emotion;Coincides?
230;activates on expressions of excitement celebration or strong emotional reactions;excitement;activates on expressions of surprise, excitement, or anticipation, often related to events or experiences.;excitement;1
1898;activates on expressions of disbelief frustration or emphasis often using informal language and rhetorical questions;anger;activates on emotional reactions and social commentary, often reflecting humor, frustration, and cultural references.;em_but(mixed);0
2249;activates on expressions of love and affection towards individuals or characters.;love;activates on expressions of affection, positivity, and emotional connections in social contexts.;love;1
2438;activates on expressions of disagreement or criticism often punctuated by strong emotional language.;anger;activates on themes of criticism, moral judgment, and societal issues related to intelligence and behavior.;anger;1
3636;activates on expressions of personal preference or affection for various subjects.;em_but(preference);activates on discussions about favorite shows, memorable moments, and emotional reactions to media and experiences.;em_but(preference);1
4326;activates on expressions of affection or preference towards people, things, or experiences.;love;activates on themes of frustration, social dynamics, and negative personal experiences or interactions.;anger;0
4456;activates on strong negative emotions and reactions to unpleasant experiences or concepts.;disgust;activates on negative emotions, frustrations, and informal expressions related to social interactions and experiences.;anger;0
4560;activates on strong emotional expressions and exclamations of frustration or distress.;anger;activates on expressions of frustration, emotional distress, and strong reactions to various situations or behaviors.;anger;1
4859;activates on expressions of frustration anger and strong emotional reactions often directed at individuals;anger;activates on expressions of frustration, confusion, or casual exclamations in informal communication.;anger;1
5810;activates on expressions of sympathy and support during difficult emotional situations.;love;activates on themes of emotional pain, loss, and empathy, particularly related to difficult personal experiences.;sadness;0
6953;activates on strong negative sentiments and expressions of disgust or disappointment.;disgust;activates on negative sentiments and criticisms, particularly related to experiences and evaluations of quality.;disgust;1
7077;activates on expressions of strong negative emotions or opinions about people and situations.;em_but (negative);activates on casual expressions of frustration, humor, and emotional reactions in everyday conversations.;em_but(negative);1
7579;activates on strong emotional reactions and expressions of frustration or disbelief.;anger;activates on negative emotions, insults, and frustrations related to social interactions and personal experiences.;anger;1
7769;activates on expressions of fear or anxiety.;fear;activates on themes of fear, anxiety, and emotional responses to frightening or overwhelming situations.;fear;1
9065;activates on expressions of anger or frustration.;anger;activates on expressions of anger, frustration, and negative emotions in social interactions or online discourse.;anger;1
13324;activates on derogatory terms and insults directed at individuals or groups.;disgust, anger;activates on derogatory language and expressions of frustration or disdain towards people and situations.;disgust, anger;1
14857;activates on expressions of frustration anger or disgust often using casual language and direct address.;disgust, anger;activates on casual, informal language related to frustration, relationships, and mental health discussions.;disgust, anger;1
15366;activates on expressions of affection and endearment towards pets and wholesome moments.;love;activates on emotional responses related to affection, cuteness, and reactions to heartwarming or infuriating situations.;love;1
15539;activates on expressions of sadness and empathy in personal or nostalgic contexts.;sadness;activates on emotions related to sadness, heartbreak, and deep feelings of loss or frustration.;sadness;1
16148;activates on expressions of excitement anticipation or eagerness for future events or outcomes;excitement;activates on discussions related to political statements or actions involving the presidency and official communications.;non-em;0
