neuron;response_index;text;polarity;subjectivity;label_sent;score_sent;neg;neu;pos;compound
230;0;"""What about the best thing that ever happened to me?"" I could not believe that you said it.";1.0;0.3;NEGATIVE;0.9977617263793945;0.0;0.792;0.208;0.6369
230;1;I am a <em>wimp</em>.;0.0;0.0;NEGATIVE;0.99772709608078;0.0;1.0;0.0;0.0
230;2;I have no more time.;-0.25;0.5;NEGATIVE;0.9714600443840027;0.423;0.577;0.0;-0.296
230;3;I was no better than a dog.;-0.25;0.5;NEGATIVE;0.9989697933197021;0.242;0.44;0.319;0.1779
230;4;I'm a hooray, that's how it is.;0.0;0.0;POSITIVE;0.9997795224189758;0.0;0.602;0.398;0.5106
230;5;"""That's how I'm feeling now!";0.0;0.0;POSITIVE;0.9995940327644348;0.0;0.691;0.309;0.2003
230;6;I was no longer needed.;0.0;0.0;POSITIVE;0.9695904850959778;0.355;0.645;0.0;-0.296
230;7;"""I am a very good person."" I can't believe that you said that to me.";0.9099999999999999;0.7800000000000001;POSITIVE;0.9997872710227966;0.0;0.79;0.21;0.4927
230;8;It's not a woo woo woo woo woo woo woo woo woo woo woo woo.;0.0;0.0;NEGATIVE;0.9996660947799683;0.939;0.061;0.0;-0.9791
230;9;I was a wonderful person.;1.0;1.0;POSITIVE;0.9998823404312134;0.0;0.448;0.552;0.5719
230;10;“So cool!” “Wow!” “Cool!” and “Awesome!”;0.5;0.825;POSITIVE;0.9998593330383301;0.0;1.0;0.0;0.0
230;11;I was a bad mom!;-0.8749999999999998;0.6666666666666666;NEGATIVE;0.9996457099914551;0.558;0.442;0.0;-0.5848
230;12;"""You are so smart, and so wonderful, you are so amazing."" It was the most amazing.";0.5828571428571429;0.7885714285714285;POSITIVE;0.9998843669891357;0.0;0.529;0.471;0.9114
230;13;"""I love you». I thought you were just joking, it was a lie, I can believe.";0.5;0.6;POSITIVE;0.9911671280860901;0.0;0.621;0.379;0.7269
